job_title,renamed_title
ML Engineer,Machine Learning Engineer
Big Data Engineer,Data Engineer
Big Data Architect,Data Architect
Machine Learning Developer,Machine Learning Engineer
Machine Learning Infrastructure Engineer,Machine Learning Engineer
NLP Engineer,Machine Learning Engineer
ETL Developer,Data Engineer
Cloud Data Engineer,Data Engineer
BI Data Analyst,Data Analyst
Business Data Analyst,Data Analyst
Marketing Data Analyst,Data Analyst
Product Data Analyst,Data Analyst
Finance Data Analyst,Data Analyst
Financial Data Analyst,Data Analyst
Computer Vision Software Engineer,Computer Vision Engineer
